City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kavieng,-2.57,150.8,302.1,77,39,5.24,PG,1601165391
Boshnyakovo,49.63,142.17,284.65,67,100,2.22,RU,1601165392
Ostrovnoy,68.05,39.51,279.06,88,100,5.68,RU,1601165392
Suozhen,36.95,118.1,294.82,67,0,0.4,CN,1601165392
Haines Junction,60.75,-137.51,282.9,65,88,3.22,CA,1601165392
Laguna,38.42,-121.42,305.93,25,1,5.1,US,1601165393
Hudiksvall,61.73,17.1,283.6,94,100,6.37,SE,1601165393
Makat,47.65,53.35,284.61,43,0,5.55,KZ,1601165393
Tessalit,20.2,1.01,304.21,12,0,4.49,ML,1601165393
Nouadhibou,20.93,-17.03,303.15,51,28,9.3,MR,1601165394
Colares,38.8,-9.45,292.04,90,3,9.44,PT,1601165394
Takoradze,4.88,-1.76,296.82,93,28,3.63,GH,1601165394
Kieta,-6.22,155.63,300.07,78,100,1.0,PG,1601165395
Columbia,34.0,-81.03,295.15,78,90,1.5,US,1601165395
Billings Metropolitan Area,45.78,-108.5,291.48,16,20,10.8,US,1601165395
Fougamou,-1.22,10.58,295.31,92,98,0.95,GA,1601165395
Kristinestad,62.27,21.38,286.18,93,99,3.51,FI,1601165395
Palanga,55.92,21.07,292.15,68,36,4.1,LT,1601165396
Lorengau,-2.02,147.27,300.75,78,100,3.84,PG,1601165396
San Policarpo,12.18,125.51,300.98,83,45,1.37,PH,1601165396
Poum,-20.23,164.02,297.51,81,2,1.52,NC,1601165396
Margate,51.38,1.39,284.82,85,100,3.58,GB,1601165397
Mago,53.25,140.18,286.14,76,22,1.42,RU,1601165397
Muncar,-8.43,114.33,299.3,77,32,0.84,ID,1601165397
Kismayo,-0.36,42.55,297.89,86,7,4.15,SO,1601165397
Bairiki Village,1.33,172.98,303.15,66,75,3.6,KI,1601165398
Faanui,-16.48,-151.75,299.18,77,18,4.76,PF,1601165398
San Quintín,30.48,-115.95,294.88,72,41,3.75,MX,1601165398
Warrenton,-28.11,24.85,278.05,54,0,3.0,ZA,1601165398
Jarocin,51.97,17.5,283.71,95,100,3.48,PL,1601165399
Santiago del Estero,-27.8,-64.26,301.87,28,0,8.9,AR,1601165399
Pacifica,37.61,-122.49,298.71,53,75,9.3,US,1601165399
Qaqortoq,60.72,-46.03,276.15,59,29,1.5,GL,1601165399
Lodja,-3.48,23.43,293.72,97,93,0.75,CD,1601165400
Mayo,38.89,-76.51,294.26,100,90,1.5,US,1601165400
Mwingi,-0.93,38.06,291.32,80,50,1.8,KE,1601165400
Muli,2.92,73.57,301.15,75,66,4.03,MV,1601165400
Esim,4.87,-2.24,296.85,93,63,2.91,GH,1601165400
Akureyri,65.68,-18.09,284.15,66,100,7.7,IS,1601165401
Matamoros,25.53,-103.25,307.15,13,5,3.6,MX,1601165401
Mariestad,58.71,13.82,287.15,90,96,4.1,SE,1601165402
Firovo,57.48,33.7,284.16,84,0,2.91,RU,1601165402
Porto Velho,-8.76,-63.9,298.15,94,20,1.44,BR,1601165402
Dalvik,65.97,-18.53,284.15,66,100,7.7,IS,1601165402
Ust-Tsilma,65.44,52.15,283.57,93,45,2.94,RU,1601165403
Bull Savanna,17.89,-77.59,299.54,81,32,1.3,JM,1601165403
Newport,51.59,-3.0,284.82,77,0,3.79,GB,1601165403
Lerik,38.77,48.41,290.15,100,40,1.0,AZ,1601165404
Manavālakurichi,8.13,77.3,300.15,94,20,1.0,IN,1601165404
Spirit River,55.78,-118.84,286.48,43,40,10.8,CA,1601165404
Ibrā’,22.69,58.53,296.69,62,0,0.36,OM,1601165404
Sarandi,-23.44,-51.87,302.15,35,52,3.6,BR,1601165405
Tual,-5.67,132.75,299.9,85,87,7.01,ID,1601165405
Gladstone,-23.85,151.25,297.15,16,0,2.6,AU,1601165405
Pudozh,61.81,36.53,283.38,92,29,1.95,RU,1601165405
Natal,-5.79,-35.21,298.15,73,20,5.7,BR,1601165406
Mossamedes,-15.2,12.15,289.76,88,76,2.78,AO,1601165406
Ndago,-4.6,34.35,294.03,50,86,2.46,TZ,1601165406
Aberystwyth,52.42,-4.08,278.71,95,25,0.45,GB,1601165406
Ryde,50.73,-1.16,284.82,68,24,0.89,GB,1601165407
Zhuji,29.72,120.24,295.15,83,40,3.0,CN,1601165407
Ubari,26.59,12.78,301.07,20,0,3.47,LY,1601165407
Mandalgovi,45.76,106.27,279.7,52,46,5.73,MN,1601165407
Kenai,60.55,-151.26,284.15,87,90,1.5,US,1601165408
Chitral,35.85,71.79,289.36,47,72,1.53,PK,1601165408
Smoky Lake,54.12,-112.47,287.59,49,96,6.26,CA,1601165408
Grindavik,63.84,-22.43,280.15,100,75,5.1,IS,1601165408
Zacatepec,18.65,-99.2,298.71,78,40,2.1,MX,1601165408
Diu,20.71,70.98,298.17,83,70,2.86,IN,1601165409
Atagay,55.1,99.39,278.91,90,100,4.27,RU,1601165409
College,64.86,-147.8,284.82,62,40,2.1,US,1601165409
Augustów,53.84,22.98,290.76,62,58,6.13,PL,1601165409
Tāndā,26.55,82.65,296.96,74,0,0.93,IN,1601165410
Vanavara,60.34,102.28,274.67,90,70,1.97,RU,1601165410
Marrakesh,31.63,-8.01,295.15,46,0,2.6,MA,1601165410
Ghātampur,26.17,80.17,298.89,60,21,0.73,IN,1601165411
Peringat,6.03,102.28,298.15,88,20,2.1,MY,1601165411
Liwale,-9.77,37.93,293.04,85,64,3.39,TZ,1601165411
Coquimbo,-29.95,-71.34,286.15,76,0,4.6,CL,1601165411
Luganville,-15.53,167.17,302.15,70,75,3.6,VU,1601165412
Mokhsogollokh,61.47,128.92,284.99,77,100,2.63,RU,1601165412
Vila Franca do Campo,37.72,-25.43,294.15,83,75,5.7,PT,1601165412
Porto Santo,33.07,-16.34,294.15,73,75,6.2,PT,1601165412
Gejiu,23.31,103.16,288.72,100,99,0.66,CN,1601165413
Redcar,54.62,-1.06,283.71,78,99,6.71,GB,1601165413
Chibombo,-14.66,28.07,290.89,29,0,1.49,ZM,1601165413
Tarko-Sale,64.92,77.78,278.71,92,88,4.66,RU,1601165413
Shirgaon,19.7,72.7,299.66,79,28,2.42,IN,1601165322
Bilibino,68.05,166.44,274.53,88,100,1.84,RU,1601165414
Cabedelo,-6.98,-34.83,297.15,88,75,3.1,BR,1601165414
Mattru,7.62,-11.83,295.7,96,100,0.91,SL,1601165414
Saedinenie,42.27,24.55,286.15,87,5,2.1,BG,1601165414
Kyren,51.68,102.14,277.05,73,82,0.27,RU,1601165415
Pasłęk,54.06,19.66,289.26,100,98,5.17,PL,1601165415
Praia da Vitória,38.73,-27.07,294.26,88,75,4.59,PT,1601165415
Pitkyaranta,61.57,31.48,285.43,89,31,4.0,RU,1601165415
Miles City,46.41,-105.84,289.15,36,1,12.3,US,1601165415
Don Luan,11.53,106.92,298.27,89,100,0.69,VN,1601165261
Mawlaik,23.63,94.42,298.02,94,100,0.37,MM,1601165416
Kumul,42.8,93.45,284.8,41,2,4.69,CN,1601165416
Maceió,-9.67,-35.74,298.15,78,40,3.1,BR,1601165416
Ponta do Sol,32.67,-17.1,295.15,60,40,5.1,PT,1601165417
Pumiao,22.75,108.48,294.15,94,75,3.0,CN,1601165417
Hamilton,39.18,-84.53,296.15,64,20,4.1,US,1601165244
Madimba,-10.4,40.33,296.19,87,21,3.34,TZ,1601165418
Algeciras,36.13,-5.45,295.15,53,58,4.6,ES,1601165418
Kuruman,-27.45,23.43,279.82,39,0,4.13,ZA,1601165418
Taoudenni,22.68,-3.98,309.3,9,0,2.7,ML,1601165418
Port-Gentil,-0.72,8.78,298.15,83,20,5.1,GA,1601165419
Codrington,-38.27,141.97,283.95,60,35,2.67,AU,1601165420
Road Town,18.42,-64.62,301.48,86,5,2.68,VG,1601165420
Malanville,11.87,3.39,297.79,87,87,2.92,BJ,1601165421
Umm Kaddadah,13.6,26.69,304.03,39,71,3.75,SD,1601165422
Point Pedro,9.82,80.23,300.37,83,30,7.45,LK,1601165422
Dayong,25.02,118.29,296.15,73,90,4.0,CN,1601165422
Paamiut,61.99,-49.67,277.21,74,8,4.34,GL,1601165422
Rawson,-43.3,-65.1,284.48,56,64,2.36,AR,1601165423
Ambon City,-3.7,128.18,301.15,78,40,1.0,ID,1601165423
Bonfim,3.08,-59.95,302.63,56,75,0.96,BR,1601165423
Vazhiny,60.96,34.02,284.22,91,0,1.77,RU,1601165423
Baharly,38.44,57.43,287.83,32,1,2.19,TM,1601165423
Vrangel',42.73,133.08,287.43,70,23,1.57,RU,1601165424
Port Lincoln,-34.73,135.87,285.99,62,2,6.03,AU,1601165424
Havre-St-Pierre,50.23,-63.6,282.15,70,90,3.6,CA,1601165424
Conceição do Araguaia,-8.26,-49.26,298.3,75,90,1.99,BR,1601165425
Saucillo,28.02,-105.28,305.53,22,0,0.37,MX,1601165425
Luangwa,-15.62,30.42,295.95,28,0,0.81,ZM,1601165425
Carman,49.5,-98.0,293.71,32,81,1.79,CA,1601165425
Pogoanele,44.92,27.0,291.15,77,75,8.2,RO,1601165425
Poya,-21.35,165.15,301.58,57,36,2.62,NC,1601165426
Kainantu,-6.29,145.87,293.56,84,83,1.59,PG,1601165426
Bestöbe,52.5,73.1,280.61,70,88,3.23,KZ,1601165426
Barinas,8.62,-70.21,298.36,82,55,0.93,VE,1601165426
Hammerfest,70.66,23.68,278.15,65,13,8.7,NO,1601165427
Bandarbeyla,9.49,50.81,297.79,80,44,10.43,SO,1601165427
Danville,36.59,-79.39,294.15,83,1,1.12,US,1601165427
Praia,14.92,-23.51,299.15,88,20,1.5,CV,1601165262
Necochea,-38.55,-58.74,284.26,99,100,3.58,AR,1601165428
Saint Anthony,45.02,-93.22,294.15,100,90,3.6,US,1601165428
Camacupa,-12.02,17.48,292.51,42,0,1.32,AO,1601165428
Acaraú,-2.89,-40.12,298.4,79,19,6.96,BR,1601165429
Minzhu,43.73,127.34,287.05,79,10,1.01,CN,1601165429
Belém de São Francisco,-8.75,-38.97,297.7,61,100,8.15,BR,1601165430
Nikolayevka,53.13,47.2,282.02,58,100,2.3,RU,1601165430
Skeldon,5.88,-57.13,298.98,84,43,2.16,GY,1601165430
Colonia Rincón Viejo,16.9,-95.05,298.58,88,94,0.8,MX,1601165430
Camacha,33.08,-16.33,294.15,73,75,6.2,PT,1601165431
Pocatello,42.87,-112.45,290.15,39,40,12.9,US,1601165431
San Vicente,-26.62,-54.13,298.81,38,7,2.11,AR,1601165431
Udachny,66.42,112.4,272.15,100,90,4.0,RU,1601165431
Westport,41.14,-73.36,293.71,94,33,2.91,US,1601165432
Corinth,37.94,22.96,293.15,38,16,2.82,GR,1601165432
Korla,41.76,86.15,286.43,37,22,8.37,CN,1601165432
Blyth,55.13,-1.51,283.71,70,40,5.1,GB,1601165433
Urambo,-5.07,32.05,293.35,54,10,1.31,TZ,1601165433
Tabora,-5.02,32.8,295.39,44,24,0.93,TZ,1601165433
Mount Gambier,-37.83,140.77,283.15,81,90,2.1,AU,1601165433
Hecun,36.53,114.11,292.93,57,74,0.93,CN,1601165347
Sitka,57.05,-135.33,285.15,81,75,3.1,US,1601165434
Nyurba,63.28,118.33,278.04,85,28,3.86,RU,1601165434
Boundiali,9.52,-6.49,294.84,88,37,1.2,CI,1601165434
Kaohsiung City,22.62,120.31,301.48,74,75,2.1,TW,1601165208
Charters Towers,-20.1,146.27,300.03,33,0,3.05,AU,1601165435
‘Āhuimanu,21.44,-157.84,305.15,62,75,4.6,US,1601165435
Bay Roberts,47.6,-53.26,283.71,88,17,4.02,CA,1601165435
Olinda,-8.01,-34.86,299.15,74,75,5.1,BR,1601165435
Athabasca,54.72,-113.29,286.45,57,54,3.55,CA,1601165436
Moindou,-21.69,165.68,299.15,69,75,5.7,NC,1601165436
Oodweyne,9.41,45.06,296.44,61,62,4.66,SO,1601165436
Fairbanks,64.84,-147.72,284.82,62,40,2.1,US,1601165436
Blagoyevo,63.37,47.92,283.84,94,34,2.96,RU,1601165437
Oranjemund,-28.55,16.43,284.92,72,0,4.02,NA,1601165437
City of San Pedro,14.35,121.02,303.71,83,75,0.5,PH,1601165437
Vanimo,-2.67,141.3,301.55,77,97,1.91,PG,1601165437
Santarém,-2.44,-54.71,299.15,94,20,1.5,BR,1601165437
Abnūb,27.27,31.15,297.15,50,1,4.1,EG,1601165438
Skała,50.23,19.85,283.71,81,90,4.1,PL,1601165438
Gogrial,8.53,28.1,296.14,87,99,1.59,SS,1601165438
Quatre Cocos,-20.21,57.76,294.15,77,75,2.6,MU,1601165438
Mana,5.66,-53.78,299.59,83,11,4.63,GF,1601165439
Broome,42.25,-75.83,292.04,93,90,4.1,US,1601165439
Oltu,40.55,42.0,287.2,61,0,1.07,TR,1601165439
Cheremshan,54.67,51.5,282.76,63,87,1.37,RU,1601165440
Santa Cruz de la Sierra,-17.8,-63.17,303.15,66,20,6.2,BO,1601165440
Hereford,52.06,-2.71,281.48,79,0,2.97,GB,1601165440
Shetpe,44.17,52.12,283.12,51,59,6.12,KZ,1601165440
Lüderitz,-26.65,15.16,285.05,67,0,9.85,NA,1601165441
Douentza,15.0,-2.95,303.09,49,99,3.13,ML,1601165441
Tha Bo,17.85,102.58,299.15,100,75,0.79,TH,1601165441
Launceston,-41.45,147.17,285.37,45,75,3.1,AU,1601165441
Palmer,42.16,-72.33,295.15,68,75,3.1,US,1601165442
Poronaysk,49.22,143.12,284.73,76,100,5.38,RU,1601165424
Shimoda,34.67,138.95,293.15,88,75,6.7,JP,1601165444
Végueta,-11.02,-77.64,289.3,83,18,4.5,PE,1601165445
Gwadar,25.12,62.33,300.2,76,0,3.47,PK,1601165445
Verkhnevilyuysk,63.45,120.32,278.78,83,73,3.13,RU,1601165445
Kawalu,-7.38,108.21,296.31,86,81,0.82,ID,1601165445
Yermakovskoye,53.28,92.4,274.43,90,60,0.75,RU,1601165446
Comodoro Rivadavia,-45.87,-67.5,287.15,47,0,2.1,AR,1601165446
Taywarah,33.35,64.42,275.42,67,0,2.64,AF,1601165446
Matagami,49.75,-77.63,290.15,82,1,2.6,CA,1601165446
Binzhou,37.37,118.02,294.82,67,5,0.86,CN,1601164962
Itacaré,-14.28,-39.0,295.88,82,8,2.15,BR,1601165447
Sinnamary,5.38,-52.95,299.68,81,7,4.57,GF,1601165447
La Rioja,42.25,-2.5,287.15,76,90,5.1,ES,1601165447
Vigrestad,58.57,5.7,282.15,93,99,1.0,NO,1601165447
Leh,34.17,77.58,277.95,60,78,2.13,IN,1601165448
Najrān,17.49,44.13,296.15,23,0,1.43,SA,1601165448
Byron Bay,-28.65,153.62,291.15,29,0,4.1,AU,1601165175
Jega,12.22,4.38,298.41,84,92,2.38,NG,1601165448
Hinton,53.4,-117.59,285.21,40,63,4.59,CA,1601165449
Monrovia,6.3,-10.8,297.15,94,75,1.71,LR,1601165449
Micheweni,-4.97,39.83,296.99,85,6,2.31,TZ,1601165449
Sinegor'ye,62.08,150.48,281.28,53,1,2.32,RU,1601165449
Guiratinga,-16.35,-53.76,302.06,42,14,1.95,BR,1601165450
Yambio,4.57,28.4,292.3,96,100,1.07,SS,1601165450
Methóni,36.82,21.7,293.15,87,1,4.62,GR,1601165450
Tongren,27.72,109.19,289.57,88,100,1.52,CN,1601165451
Zhangye,38.93,100.45,286.22,38,99,2.76,CN,1601165176
Forbes,-33.38,148.02,284.93,58,1,3.46,AU,1601165451
Caxito,-8.58,13.66,295.85,76,28,2.27,AO,1601165452
Morondava,-20.28,44.28,296.89,78,6,1.97,MG,1601165452
Basco,20.45,121.97,301.67,79,100,5.0,PH,1601165452
Zinder,13.81,8.99,300.86,57,81,5.29,NE,1601165453
Kushiro,42.98,144.37,287.15,87,75,7.7,JP,1601165450
Baie-Comeau,49.22,-68.15,282.15,70,90,1.0,CA,1601165453
Parelhas,-6.69,-36.66,296.57,70,53,10.07,BR,1601165453
Khāsh,28.22,61.22,287.18,34,0,1.45,IR,1601165453
Ust'-Ilimsk,58.0,102.66,275.44,91,79,1.84,RU,1601165431
Chernogorsk,53.82,91.28,273.15,88,40,1.0,RU,1601165454
Emerald,-23.53,148.17,295.37,18,0,6.2,AU,1601165454
Ţahţā,26.77,31.5,301.15,37,0,2.1,EG,1601165455
Otukpo,7.19,8.13,294.26,99,100,0.77,NG,1601165456
Araouane,18.9,-3.53,307.25,11,0,1.02,ML,1601165456
Bac Lieu,9.29,105.72,299.39,84,100,4.3,VN,1601165380
Zakharivka,47.33,29.75,294.08,74,88,8.08,UA,1601165457
Turukhansk,65.82,87.98,277.99,88,97,5.29,RU,1601165457
Kloulklubed,7.04,134.26,302.15,79,75,2.6,PW,1601165458
Leninskoye,47.94,132.62,286.03,70,0,2.01,RU,1601165458
Sibu,2.3,111.82,296.15,94,40,1.0,MY,1601165459
Kandi,11.13,2.94,295.84,93,74,2.24,BJ,1601165459
Sola,-13.88,167.55,299.84,81,99,8.58,VU,1601165459
Dali,25.7,100.18,289.94,87,94,1.59,CN,1601165460
Namatanai,-3.67,152.43,303.35,65,3,3.01,PG,1601165460
Rock Hill,34.92,-81.03,294.26,83,90,1.5,US,1601165460
Narsaq,60.92,-46.05,274.15,64,22,1.36,GL,1601165461
Aquiraz,-3.9,-38.39,299.15,78,40,6.2,BR,1601165461
Wattegama,6.8,81.48,296.87,85,56,1.88,LK,1601165462
Skagen,57.72,10.58,287.59,93,98,8.49,DK,1601165462
Alpena,45.06,-83.43,295.15,73,20,4.1,US,1601165462
Qandala,11.47,49.87,302.96,57,4,2.14,SO,1601165463
Aranos,-24.13,19.12,283.12,43,0,2.78,NA,1601165464
Rāhatgarh,23.78,78.37,295.63,91,39,1.93,IN,1601165233
Flin Flon,54.77,-101.86,289.15,51,40,5.1,CA,1601165464
Cherepovets,59.13,37.9,283.98,83,32,3.45,RU,1601165465
Vitim,59.45,112.56,279.6,79,100,3.63,RU,1601165465
Strezhevoy,60.73,77.59,278.15,86,17,2.0,RU,1601165466
Shadrinsk,56.09,63.63,280.32,88,1,1.88,RU,1601165466
Nānākuli,21.39,-158.15,305.15,62,75,4.1,US,1601165466
Tatarka,44.96,41.95,288.15,76,40,6.0,RU,1601165467
Mapastepec,15.43,-92.9,299.96,79,100,0.56,MX,1601165467
Barra de Tecoanapa,16.52,-98.75,300.78,79,71,0.99,MX,1601165468
Nushki,29.55,66.02,287.36,31,0,0.61,PK,1601165468
Attock,33.77,72.36,294.82,93,20,2.1,PK,1601165468
Mjölby,58.33,15.12,288.15,93,100,5.1,SE,1601165470
Scalea,39.81,15.8,292.56,55,44,7.35,IT,1601165470
Muscat,23.61,58.59,308.15,26,0,4.1,OM,1601165471
Ouargaye,11.5,0.06,297.65,87,62,2.88,BF,1601165471
Buenos Aires,-34.61,-58.38,291.48,88,90,4.1,AR,1601165472
Latung,5.5,120.88,302.28,74,92,4.49,PH,1601165472
Cagdianao,9.92,125.67,301.81,70,94,2.22,PH,1601165472
Nevinnomyssk,44.63,41.95,288.15,7,4,7.6,RU,1601165472
Craig,40.52,-107.55,297.15,17,75,6.7,US,1601165473
Dawson Creek,55.77,-120.24,287.15,41,1,10.3,CA,1601165473
Chinchani,19.87,72.7,299.65,80,40,2.68,IN,1601165473
